Date;Time;Ref;Sen;ATN;Flow;PCB temp;Status;Battery;BC
18.06.2018;19:59:31;901230;925610;-2.669;149;25;0;100;-1743
18.06.2018;19:59:32;901285;925657;-2.668;150;25;0;100;2329
18.06.2018;19:59:33;901204;925583;-2.669;150;25;0;100;-2256
18.06.2018;19:59:34;901348;925725;-2.669;150;25;0;100;1447
18.06.2018;19:59:35;901136;925515;-2.669;150;25;0;100;-1898
18.06.2018;19:59:36;901234;925607;-2.668;150;25;0;100;2124
18.06.2018;19:59:37;901196;925572;-2.669;150;25;0;100;-989
18.06.2018;19:59:38;901233;925603;-2.668;149;25;0;100;1730
18.06.2018;19:59:39;901185;925560;-2.669;149;25;0;100;-1556
18.06.2018;19:59:40;901215;925590;-2.669;149;25;0;100;201
18.06.2018;19:59:41;901230;925599;-2.668;150;25;0;100;1572
18.06.2018;19:59:42;901222;925590;-2.668;150;25;0;100;192
18.06.2018;19:59:43;901317;925692;-2.668;150;25;0;100;-1088
18.06.2018;19:59:44;901334;925700;-2.667;150;25;0;100;2322
18.06.2018;19:59:45;901202;925568;-2.668;150;25;0;100;-876
18.06.2018;19:59:46;901401;925769;-2.667;149;25;0;100;835
18.06.2018;19:59:47;901299;925666;-2.668;149;25;0;100;-434
18.06.2018;19:59:48;901234;925592;-2.667;149;25;0;100;1790
18.06.2018;19:59:49;901322;925696;-2.668;149;25;0;100;-3366
18.06.2018;19:59:50;901201;925562;-2.667;149;25;0;100;2404
18.06.2018;19:59:51;901206;925579;-2.669;149;25;0;100;-2932
18.06.2018;19:59:52;901238;925601;-2.667;150;25;0;100;2667
18.06.2018;19:59:53;901299;925663;-2.667;149;25;0;100;160
18.06.2018;19:59:54;901266;925628;-2.667;149;25;0;100;274
18.06.2018;19:59:55;901317;925683;-2.667;149;25;0;100;-648
18.06.2018;19:59:56;901252;925616;-2.667;149;25;0;100;60
18.06.2018;19:59:57;901206;925565;-2.667;149;25;0;100;928
18.06.2018;19:59:58;901312;925675;-2.667;150;25;0;100;-279
18.06.2018;19:59:59;901254;925611;-2.667;150;25;0;100;1088
18.06.2018;20:00:00;901347;925698;-2.666;150;25;0;100;2089
18.06.2018;20:00:01;901342;925699;-2.666;150;25;0;100;-1506
18.06.2018;20:00:02;901282;925638;-2.667;150;25;0;100;-153
18.06.2018;20:00:03;901216;925570;-2.666;150;25;0;100;53
18.06.2018;20:00:04;901162;925509;-2.666;150;25;0;100;1360
18.06.2018;20:00:05;901153;925502;-2.666;150;25;0;100;-551
18.06.2018;20:00:06;901174;925526;-2.666;150;25;0;100;-597
18.06.2018;20:00:07;901128;925474;-2.666;150;25;0;100;1168
18.06.2018;20:00:08;901185;925524;-2.665;150;25;0;100;2096
18.06.2018;20:00:09;901216;925551;-2.664;150;25;0;100;1187
18.06.2018;20:00:10;901192;925537;-2.666;150;25;0;100;-2614
18.06.2018;20:00:11;901278;925617;-2.665;149;25;0;100;2057
18.06.2018;20:00:12;901264;925608;-2.665;149;25;0;100;-1329
18.06.2018;20:00:13;901191;925522;-2.664;149;25;0;100;2725
18.06.2018;20:00:14;901147;925482;-2.665;149;25;0;100;-1282
18.06.2018;20:00:15;901109;925449;-2.665;149;25;0;100;-1489
18.06.2018;20:00:16;901178;925525;-2.666;149;25;0;100;-1269
18.06.2018;20:00:17;901103;925435;-2.664;149;25;0;100;3206
18.06.2018;20:00:18;901156;925498;-2.665;149;25;0;100;-2118
18.06.2018;20:00:19;901122;925465;-2.666;149;25;0;100;-474
18.06.2018;20:00:20;901180;925516;-2.665;149;25;0;100;2117
18.06.2018;20:00:21;901117;925449;-2.664;150;25;0;100;564
18.06.2018;20:00:22;901128;925459;-2.664;149;25;0;100;321
18.06.2018;20:00:23;901144;925472;-2.664;149;25;0;100;848
18.06.2018;20:00:24;901179;925509;-2.664;149;25;0;100;-261
18.06.2018;20:00:25;901212;925544;-2.664;149;25;0;100;-274
18.06.2018;20:00:26;901197;925522;-2.663;149;25;0;100;1630
18.06.2018;20:00:27;901171;925495;-2.663;149;25;0;100;74
18.06.2018;20:00:28;901169;925497;-2.664;149;25;0;100;-1002
18.06.2018;20:00:29;901192;925524;-2.664;149;25;0;100;-835
18.06.2018;20:00:30;901260;925585;-2.663;149;25;0;100;2183
18.06.2018;20:00:31;901253;925577;-2.663;149;25;0;100;200
18.06.2018;20:00:32;901285;925615;-2.664;150;25;0;100;-1261
18.06.2018;20:00:33;901249;925580;-2.664;150;25;0;100;-484
18.06.2018;20:00:34;901236;925563;-2.664;149;25;0;100;902
18.06.2018;20:00:35;901290;925614;-2.663;149;25;0;100;1102
18.06.2018;20:00:36;901256;925578;-2.663;150;25;0;100;266
18.06.2018;20:00:37;901212;925521;-2.662;150;25;0;100;2900
18.06.2018;20:00:38;901167;925480;-2.662;150;25;0;100;-1280
18.06.2018;20:00:39;901221;925534;-2.662;150;25;0;100;358
18.06.2018;20:00:40;901242;925558;-2.662;150;25;0;100;-597
18.06.2018;20:00:41;901312;925629;-2.662;150;25;0;100;218
18.06.2018;20:00:42;901165;925472;-2.662;150;25;0;100;1481
18.06.2018;20:00:43;901151;925459;-2.662;149;25;0;100;-340
18.06.2018;20:00:44;901272;925581;-2.661;149;25;0;100;559
18.06.2018;20:00:45;901308;925622;-2.662;149;25;0;100;-996
18.06.2018;20:00:46;901214;925520;-2.661;149;25;0;100;1350
18.06.2018;20:00:47;901260;925558;-2.66;149;25;0;100;2284
18.06.2018;20:00:48;901258;925565;-2.661;149;25;0;100;-2237
18.06.2018;20:00:49;901231;925538;-2.661;149;25;0;100;-180
18.06.2018;20:00:50;901285;925581;-2.66;149;25;0;100;3078
18.06.2018;20:00:51;901246;925535;-2.659;150;25;0;100;1460
18.06.2018;20:00:52;901178;925466;-2.659;149;25;0;100;-206
18.06.2018;20:00:53;901205;925485;-2.659;149;25;0;100;2157
18.06.2018;20:00:54;901223;925492;-2.657;149;25;0;100;2838
18.06.2018;20:00:55;901275;925543;-2.657;149;25;0;100;593
18.06.2018;20:00:56;901193;925454;-2.656;149;25;0;100;1184
18.06.2018;20:00:57;901210;925478;-2.657;149;25;0;100;-1617
18.06.2018;20:00:58;901194;925453;-2.656;149;25;0;100;2118
18.06.2018;20:00:59;901079;925340;-2.657;149;25;0;100;-1260
18.06.2018;20:01:00;901116;925375;-2.657;149;25;0;100;741
18.06.2018;20:01:01;901123;925380;-2.656;149;25;0;100;541
18.06.2018;20:01:02;901102;925358;-2.656;150;25;0;100;107
18.06.2018;20:01:03;901123;925371;-2.655;150;25;0;100;2103
18.06.2018;20:01:04;901205;925462;-2.656;150;25;0;100;-1668
18.06.2018;20:01:05;901085;925327;-2.655;149;25;0;100;2909
18.06.2018;20:01:06;901122;925366;-2.655;149;25;0;100;-248
18.06.2018;20:01:07;901194;925436;-2.654;149;25;0;100;973
18.06.2018;20:01:08;901221;925458;-2.654;149;25;0;100;1415
18.06.2018;20:01:09;901074;925307;-2.654;149;25;0;100;12
18.06.2018;20:01:10;901101;925316;-2.652;149;25;0;100;4629
18.06.2018;20:01:11;901134;925348;-2.652;149;25;0;100;466
18.06.2018;20:01:12;901080;925290;-2.651;149;25;0;100;630
18.06.2018;20:01:13;901210;925417;-2.651;149;25;0;100;1605
18.06.2018;20:01:14;901137;925350;-2.651;149;25;0;100;-1968
18.06.2018;20:01:15;901126;925348;-2.652;149;25;0;100;-2298
18.06.2018;20:01:16;901089;925306;-2.652;149;25;0;100;990
18.06.2018;20:01:17;901151;925370;-2.652;150;25;0;100;-82
18.06.2018;20:01:18;901120;925332;-2.651;150;25;0;100;1514
18.06.2018;20:01:19;901129;925343;-2.652;150;25;0;100;-432
18.06.2018;20:01:20;901143;925364;-2.652;149;25;0;100;-1637
18.06.2018;20:01:21;901176;925394;-2.652;149;25;0;100;961
18.06.2018;20:01:22;901141;925365;-2.653;149;25;0;100;-1716
18.06.2018;20:01:23;901064;925291;-2.653;149;25;0;100;-1253
18.06.2018;20:01:24;901158;925396;-2.654;149;25;0;100;-2094
18.06.2018;20:01:25;901160;925402;-2.655;149;25;0;100;-975
18.06.2018;20:01:26;901165;925409;-2.655;149;25;0;100;-461
18.06.2018;20:01:27;901136;925386;-2.655;149;25;0;100;-1676
18.06.2018;20:01:28;901179;925429;-2.655;149;25;0;100;286
18.06.2018;20:01:29;901160;925413;-2.656;149;25;0;100;-868
18.06.2018;20:01:30;901084;925342;-2.656;149;25;0;100;-1741
18.06.2018;20:01:31;901120;925374;-2.656;149;25;0;100;1228
18.06.2018;20:01:32;901119;925373;-2.656;149;25;0;100;-7
18.06.2018;20:01:33;901123;925380;-2.656;149;25;0;100;-715
18.06.2018;20:01:34;901055;925318;-2.657;149;25;0;100;-1936
18.06.2018;20:01:35;901098;925360;-2.657;149;25;0;100;533
18.06.2018;20:01:36;901146;925406;-2.657;149;25;0;100;814
18.06.2018;20:01:37;901118;925384;-2.657;149;25;0;100;-1669
18.06.2018;20:01:38;901091;925346;-2.656;149;25;0;100;2539
18.06.2018;20:01:39;901134;925389;-2.656;149;25;0;100;286
18.06.2018;20:01:40;901062;925318;-2.656;149;25;0;100;-726
18.06.2018;20:01:41;901065;925329;-2.657;149;25;0;100;-1958
18.06.2018;20:01:42;901083;925354;-2.658;150;25;0;100;-1600
18.06.2018;20:01:43;901085;925352;-2.657;150;25;0;100;995
18.06.2018;20:01:44;901111;925376;-2.657;150;25;0;100;663
18.06.2018;20:01:45;901259;925531;-2.657;150;25;0;100;-740
18.06.2018;20:01:46;901123;925388;-2.657;150;25;0;100;819
18.06.2018;20:01:47;901183;925453;-2.658;149;25;0;100;-836
18.06.2018;20:01:48;901196;925463;-2.657;149;25;0;100;828
18.06.2018;20:01:49;901146;925414;-2.657;149;25;0;100;-580
18.06.2018;20:01:50;901184;925447;-2.657;149;25;0;100;1489
18.06.2018;20:01:51;901189;925450;-2.657;149;25;0;100;528
18.06.2018;20:01:52;901186;925449;-2.657;149;25;0;100;-514
